Month,Actual_Close,ARIMA_Forecast,RF_Forecast,Combined_Forecast
2021-08-01,40.37683181818182,33.26989692753581,42.72353522297589,37.99671607525585
2021-09-01,41.02562380952381,33.2697951635877,42.80330369666457,38.036549430126136
2021-10-01,42.11736666666667,33.26984608514684,42.69570116084677,37.9827736229968
2021-11-01,41.955285714285715,33.26987166974346,42.91916631069866,38.09451899022106
2021-12-01,37.7982,33.269839724218265,41.980670920892116,37.62525532255519
2022-01-01,41.9822,33.269860839456584,41.05876321447047,37.16431202696353
2022-02-01,42.53611578947368,33.26985216006385,43.04012778132881,38.154989970696334
2022-03-01,31.668086956521737,33.26984844187099,43.00144441785245,38.13564642986172
2022-04-01,33.76377,33.269853333335874,30.936572560897808,32.103212947116845
2022-05-01,31.833361904761905,33.2698492673743,32.714349877504546,32.99209957243942
2022-06-01,28.258233333333333,33.269850695514144,31.08490814467195,32.17737942009305
2022-07-01,26.137045,33.2698511161731,26.865446427238535,30.06764877170582
2022-08-01,27.379782608695653,33.269850300902355,26.57863053971638,29.924240420309367
2022-09-01,25.163542857142858,33.26985102449379,26.985478258999755,30.127664641746772
2022-10-01,23.283833333333334,33.26985077392781,26.553411884930213,29.91163132942901
2022-11-01,27.536838095238096,33.26985073832415,25.146940021160134,29.208395379742143
2022-12-01,28.60178095238095,33.269850878173266,28.59670332381104,30.933277100992154
2023-01-01,33.778875,33.26985075536291,29.348414110389637,31.309132432876275
2023-02-01,35.07630526315789,33.269850802430206,34.746495212440166,34.00817300743519
2023-03-01,34.42135217391304,33.26985080376308,35.13130204736543,34.20057642556425
2023-04-01,34.988205263157894,33.26985078025571,35.614331316248624,34.442091048252166
2023-05-01,37.52773181818182,33.26985080080174,35.95911218327439,34.61448149203807
2023-06-01,40.00772857142857,33.26985079177252,40.07015879415387,36.6700047929632
2023-07-01,39.763545,33.26985079213527,42.127455682727074,37.698653237431174
2023-08-01,37.111104347826085,33.26985079594026,42.702347863463004,37.98609932970163
2023-09-01,36.789654999999996,33.269850792482686,39.52875150337207,36.399301147927375
2023-10-01,34.5488,33.269850794188464,39.609498555210166,36.43967467469932
2023-11-01,40.80936666666667,33.26985079404057,33.72591673321298,33.497883763626774
2023-12-01,48.115275,33.269850793445215,41.2359589259958,37.25290485972051
2024-01-01,47.80965714285714,33.26985079403276,43.321816483625035,38.295833638828896
2024-02-01,52.850315,33.26985079371869,43.65338147482586,38.461616134272276
2024-03-01,54.006355,33.26985079375931,44.04720877789131,38.65852978582531
2024-04-01,53.83468181818182,33.269850793850374,43.549702632485804,38.409776713168085
2024-05-01,48.690200000000004,33.2698507937502,43.201235546001335,38.23554316987577
2024-06-01,45.1828,33.26985079380683,39.80642797320967,36.53813938350825
2024-07-01,42.193695454545455,33.26985079379696,39.75990201507322,36.51487640443509
2024-08-01,39.185945454545454,33.26985079378323,38.97199413313915,36.120922463461184
2024-09-01,43.211059999999996,33.26985079380023,38.49496003866879,35.88240541623451
2024-10-01,43.01188260869565,33.26985079379015,39.06616177418743,36.16800628398879
2024-11-01,43.522825,33.26985079379237,38.96172126280125,36.11578602829681
2024-12-01,43.64805714285714,33.26985079379442,39.03179045090093,36.15082062234767
2025-01-01,43.3158,33.26985079379156,42.84044799697463,38.0551493953831
2025-02-01,45.287073684210526,33.269850793793346,43.035292119874754,38.15257145683405
2025-03-01,45.800085714285714,33.26985079379287,43.15006478587374,38.209957789833304
2025-04-01,43.45350952380952,33.26985079379257,44.50464476434263,38.8872477790676
2025-05-01,51.468176190476186,33.26985079379305,42.90718947913655,38.088520136464794
2025-06-01,55.37882,33.269850793792735,43.92232950870255,38.596090151247644
2025-07-01,58.642331818181816,33.269850793792834,43.73644760906017,38.5031492014265
2025-08-01,64.08708095238096,33.26985079379288,39.66232747305611,36.46608913342449
2025-09-01,58.28223333333333,33.2698507937928,39.782151591231994,36.526001192512396
